,SMILES,TR/TE,F-L_class,@-@@_class,R-S_class,SMILES_ns,SMILES_opp
77,CC(C)(C)S(=O)(=O)N[C@]1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21,TE,L,@,S,CC(C)(C)S(=O)(=O)NC1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21,CC(C)(C)S(=O)(=O)N[C@@]1(c2ccc(Cl)cc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccccc21
78,CC(C)(C)S(=O)(=O)N[C@@]1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21,TE,F,@@,R,CC(C)(C)S(=O)(=O)NC1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21,CC(C)(C)S(=O)(=O)N[C@]1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21
79,CC(C)(C)S(=O)(=O)N[C@]1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21,TE,L,@,S,CC(C)(C)S(=O)(=O)NC1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21,CC(C)(C)S(=O)(=O)N[C@@]1(c2ccccc2)C(=O)N(Cc2c(Cl)cccc2Cl)c2ccc(F)cc21
80,CC(C)=C[C@H](c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,TE,F,@,R,CC(C)=CC(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,CC(C)=C[C@@H](c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1
81,CC(C)=C[C@@H](c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,TE,L,@@,S,CC(C)=CC(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,CC(C)=C[C@H](c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1
82,CC(C)O[C@H](c1ccccc1)c1ccccc1O,TE,F,@,R,CC(C)OC(c1ccccc1)c1ccccc1O,CC(C)O[C@@H](c1ccccc1)c1ccccc1O
83,CC(C)O[C@@H](c1ccccc1)c1ccccc1O,TE,L,@@,S,CC(C)OC(c1ccccc1)c1ccccc1O,CC(C)O[C@H](c1ccccc1)c1ccccc1O
84,CC(C)[P@@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,TE,F,@@,R,CC(C)P(=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,CC(C)[P@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1
85,CC(C)[P@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,TE,L,@,S,CC(C)P(=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,CC(C)[P@@](=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1
86,C[C@H](C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12,TE,F,@,R,CC(C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12,C[C@@H](C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12
87,C[C@@H](C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12,TE,L,@@,S,CC(C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12,C[C@H](C#Cc1ccc(C#N)cc1)c1cccc2nc(-c3ccccc3)sc12
